[2021-06-14 00:27:09,887: WARNING/ForkPoolWorker-6] 60748417 function calls (60137521 primitive calls) in 48.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   42.968   42.968 /home/jmartty/tsa/ts-analysis/backend/ts_project/tasks/analysis_tasks.py:15(run_analysis)
        1    0.000    0.000   33.125   33.125 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/analyzer.py:9(analyze)
        1    0.000    0.000   33.125   33.125 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/pipeline.py:13(execute)
      4/1    0.000    0.000   33.125   33.125 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/pipeline.py:17(execute_node)
        2    0.000    0.000   33.077   16.538 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/nodes/node_transformer.py:14(execute)
        2    0.000    0.000   33.076   16.538 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/nodes/node_transformer.py:19(transform_and_validate)
        1    0.000    0.000   33.071   33.071 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/nodes/transformers/multi_rolling_aggregate.py:49(transform)
        1    0.000    0.000   33.069   33.069 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/nodes/transformers/multi_rolling_aggregate.py:56(transform_df)
        1    0.000    0.000   33.068   33.068 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/window.py:1849(apply)
        1    0.000    0.000   33.068   33.068 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/window.py:1077(apply)
        1    0.000    0.000   33.068   33.068 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/window.py:875(_apply)
        1    0.000    0.000   33.066   33.066 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/numpy/lib/shape_base.py:270(apply_along_axis)
        2    0.000    0.000   33.066   16.533 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/window.py:956(calc)
        2    0.000    0.000   33.066   16.533 /home/jmartty/tsa/ts-analysis/backend/venv/lib/python3.6/site-packages/pandas/core/window.py:1099(f)
        2    0.233    0.117   33.065   16.533 {pandas._libs.window.roll_generic}
    18960    0.178    0.000   27.081    0.001 /home/jmartty/tsa/ts-analysis/backend/ts_project/salib/model/pipeline/nodes/transformers/multi_rolling_aggregate.py:79(func_proportion)
